,Accuracy,Precision,Recall
Covid-19,0.9888476,0.974359,0.9888476
Lung Opacity,0.9930844,0.98491085,0.9930844
Normal,0.91853696,0.9534081,0.91853696
Viral Pneumonia,0.9676153,0.95173746,0.9676153
